"Date";"Solde au 12/10/12";"Débit Euros";"Crédit Euros";"Solde";"Categorie"
"24-Jul";"Ret Dab Guipavas Aeroport          
.                                  ";"40,00";;"-849,81";"picole"
"24-Jul";"332801 Sfr Mobile                  
8268797789epre120712al             ";"61,01";;"-910,82";"telephone"
"20-Jul";"Carte Uship            19/07/12    
.                                  ";"17,60";;"-928,42";"picole"
"19-Jul";"Carte Subway           18/07/12    
.                                  ";"12,80";;"-941,22";"picole"
"18-Jul";"Carte Superette Recouv 17/07/12    
.                                  ";"14,60";;"-955,82";"picole"
"17-Jul";"Ret Dab Brest          16 07 12    
.                                  ";"20,00";;"-975,82";"picole"
"17-Jul";"Ret Dab Brest Centre 1 15 07 12    
.                                  ";"60,00";;"-1035,82";"picole"
"17-Jul";"Carte Superette Recouv 16/07/12    
.                                  ";"23,60";;"-1059,42";"picole"
"16-Jul";"Carte Gts*livecpdfee.C 15/07/12    
.                                  ";"45,99";;"-1105,41";"picole"
"16-Jul";"Carte Le Longchamp     13/07/12    
.                                  ";"62,00";;"-1167,41";"food"
"16-Jul";"Carte L'arena          13/07/12    
.                                  ";"26,70";;"-1194,11";"picole"
"16-Jul";"Carte Casino 24 Porte  12/07/12    
.                                  ";"7,60";;"-1201,71";"food"
"16-Jul";"Prlv   Ass Pacifica  06019130907   
4650181827083907021ass Pacifica    ";"68,68";;"-1270,39";"picole"
"13-Jul";"Carte Carrefour Brest  12/07/12    
.                                  ";"108,60";;"-1378,99";"food"
"13-Jul";"Ret Dab Lcl Brest Iroi 12 07 12    
.                                  ";"40,00";;"-1418,99";"picole"
"12-Jul";"Carte Sarl Pasnat      12/07/12    
.                                  ";"40,50";;"-1459,49";"picole"
"12-Jul";"Carte Le Tara Inn      11/07/12    
.                                  ";"20,00";;"-1479,49";"picole"
"11-Jul";"Carte Centre E.Leclerc 10/07/12    
.                                  ";"76,61";;"-1556,1";"transport"
"11-Jul";"Carte Mc Donald's      10/07/12    
.                                  ";"11,30";;"-1567,4";"picole"
"10-Jul";"Prlv Ech Pret A Consommer          
181002590173023644389         S    ";"383,59";;"-1950,99";"picole"
"10-Jul";"Prlv Ech Pret A Consommer          
181019850873056379735         S    ";"146,90";;"-2097,89";"picole"
"10-Jul";"**interets Debiteurs Taeg:16.53    
.                                  ";"24,88";;"-2122,77";"frais bancaires"
"09-Jul";"Ret Dab Brest La Frega 08 07 12    
.                                  ";"60,00";;"-2182,77";"picole"
"09-Jul";"Carte Le Longchamp     06/07/12    
.                                  ";"10,80";;"-2193,57";"picole"
"09-Jul";"Carte Superette Recouv 06/07/12    
.                                  ";"9,80";;"-2203,37";"picole"
"09-Jul";"001007 Electricite De France       
*111540180216 14616 7   Edf Pr7    ";"65,00";;"-2268,37";"electricite"
"09-Jul";"Prlv   Predica Garantie Deces      
*82900255460787*001tema3           ";"4,87";;"-2273,24";
"09-Jul";"**cotisation Cs Option 2           
.                                  ";"6,00";;"-2279,24";"frais bancaires"
"06-Jul";"Carte Sodexho Siege    05/07/12    
.                                  ";"10,02";;"-2289,26";
"05-Jul";"Ret Dab Gmf Kerhuon Si 04 07 12    
.                                  ";"60,00";;"-2349,26";
"04-Jul";"Carte Le Longchamp     03/07/12    
.                                  ";"10,80";;"-2360,06";"food"
"04-Jul";"Initialisation";;"1723,55";"-636,51";
;;"Filtre";;;
;;;;;
;;"Somme - Débit Euros";"Solde";;
;;"Categorie";-80;-40;"-1035,82"
;;"(vide)";;;
;;"cash";;;
;;"electricite";;;
;;"food";;;
;;"frais bancaires";;;
;;"furnitures";;;
;;"mortgage boat";;;
;;"mortgage car";;;
;;"picole";;;
;;"porno";;;
;;"salary";;;
;;"sante";;;
;;"sport";;;
;;"taxes";;;
;;"telephone";;;
;;"transport";;;
;;"Total Résultat";;;
