MyDate	GroupLib	Libelle	Debit	Credit	Category	Weekly	Monthly	Yearly
2017-03-03 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN02/03	7	0	NULL	NULL	NULL	NULL
2017-03-03 00:00:00	COTISATION	COMPTESERVICEOPTION2	6	0	NULL	NULL	NULL	NULL
2017-03-02 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN01/03	18	0	NULL	NULL	NULL	NULL
2017-03-02 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN01/03	7	0	NULL	NULL	NULL	NULL
2017-03-01 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN28/02	10	0	NULL	NULL	NULL	NULL
2017-03-01 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVALL28/02	12	0	NULL	NULL	NULL	NULL
2017-02-28 00:00:00	PAIEMENTPARCARTE	SFRONESHOTMOBSVIPUTEAUX25/02	40	0	NULL	NULL	NULL	NULL
2017-02-28 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN27/02	5	0	NULL	NULL	NULL	NULL
2017-02-28 00:00:00	RETRAITAUDISTRIBUTEUR	DINAN25/0210H04	60	0	NULL	NULL	NULL	NULL
2017-02-27 00:00:00	VIREMENTENVOTREFAVEUR	APOLOGICAPOLOGIC70541245100001	0	1932	NULL	NULL	NULL	NULL
2017-02-27 00:00:00	PAIEMENTPARCARTE	CAFEDUCHATEAUDINAN25/02	16	0	NULL	NULL	NULL	NULL
2017-02-27 00:00:00	PAIEMENTPARCARTE	MCLGDINAN26/02	23	0	NULL	NULL	NULL	NULL
2017-02-27 00:00:00	PAIEMENTPARCARTE	VIVECODINAN26/02	8	0	NULL	NULL	NULL	NULL
2017-02-27 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVAL24/02	8	0	NULL	NULL	NULL	NULL
2017-02-27 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN24/02	8	0	NULL	NULL	NULL	NULL
2017-02-24 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN23/02	14	0	NULL	NULL	NULL	NULL
2017-02-24 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN23/02	10	0	NULL	NULL	NULL	NULL
2017-02-24 00:00:00	PAIEMENTPARCARTE	SARLJMVIPINAULTTADEN23/02	1	0	NULL	NULL	NULL	NULL
2017-02-24 00:00:00	PAIEMENTPARCARTE	LE1DELAPLACEDINAN23/02	2	0	NULL	NULL	NULL	NULL
2017-02-23 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN22/02	7	0	NULL	NULL	NULL	NULL
2017-02-23 00:00:00	PAIEMENTPARCARTE	MCLGDINAN22/02	5	0	NULL	NULL	NULL	NULL
2017-02-23 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN22/02	14	0	NULL	NULL	NULL	NULL
2017-02-23 00:00:00	PAIEMENTPARCARTE	SARLJMVIPINAULTTADEN22/02	3	0	NULL	NULL	NULL	NULL
2017-02-22 00:00:00	PAIEMENTPARCARTE	CARREFOURCITYDINAN21/02	11	0	NULL	NULL	NULL	NULL
2017-02-21 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN20/02	8	0	NULL	NULL	NULL	NULL
2017-02-20 00:00:00	PAIEMENTPARCARTE	SOMOBADACTADEN18/02	78	0	NULL	NULL	NULL	NULL
2017-02-20 00:00:00	PAIEMENTPARCARTE	RELAISBRETONTADEN17/02	12	0	NULL	NULL	NULL	NULL
2017-02-20 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN18/02	61	0	NULL	NULL	NULL	NULL
2017-02-20 00:00:00	PAIEMENTPARCARTE	CAFEDUCHATEAUDINAN17/02	18	0	NULL	NULL	NULL	NULL
2017-02-20 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN17/02	2	0	NULL	NULL	NULL	NULL
2017-02-20 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN17/02	16	0	NULL	NULL	NULL	NULL
2017-02-20 00:00:00	RETRAITAUDISTRIBUTEUR	DINANINTERMARCH18/0216H50	60	0	NULL	NULL	NULL	NULL
2017-02-17 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN16/02	10	0	NULL	NULL	NULL	NULL
2017-02-17 00:00:00	PRELEVEMENT	SUPPLETIS018506	172	0	NULL	NULL	NULL	NULL
