YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1989    1.5    3.1    8.0    8.1   15.3   17.3   21.0   19.9   15.7   11.2    4.3    3.9     2.5    10.5    19.4    10.4   10.69
1990    1.6    6.9    7.7    8.4   15.8   16.6   20.0   20.3   15.3   12.1    5.7    1.3     4.1    10.6    19.0    11.0   11.19
1991    2.6    0.1    7.8    8.5   11.3   16.6   21.2   21.3   17.9    9.8    5.7    1.5     1.3     9.2    19.7    11.1   10.34
1992    0.3    2.9    6.8   10.1   15.6   16.6   20.2   22.0   15.7    9.5    7.2    2.6     1.6    10.8    19.6    10.8   10.70
1993    3.3    0.9    5.4   10.6   14.8   17.9   18.8   19.9   14.0    9.2    3.9    4.7     2.3    10.3    18.9     9.0   10.11
1994    3.5    3.9   10.1    8.2   14.8   18.0   22.6   21.1   15.1   11.2    8.8    4.8     4.0    11.0    20.6    11.7   11.83
1995    1.8    6.0    5.1   10.1   13.7   16.3   22.2   19.6   13.4   13.9    5.6    2.5     4.2     9.6    19.4    11.0   11.04
1996    2.7    1.5    4.8   10.1   13.7   18.5   18.8   18.2   12.8   10.7    5.8    2.3     2.2     9.5    18.5     9.8   10.01
1997    0.7    5.2    7.9    9.7   14.5   16.9   18.3   20.9   16.7   10.8    6.1    3.6     2.7    10.7    18.7    11.2   10.83
1998    3.2    4.0    7.1    9.3   15.8   18.4   21.1   20.0   14.9   11.3    3.4    1.4     3.6    10.7    19.8     9.9   11.01
1999    2.6    1.7    7.1    9.7   16.7   17.1   21.0   19.9   18.2   11.4    4.4    3.5     1.9    11.2    19.3    11.3   10.93
2000    1.3    4.9    7.1   10.8   16.5   19.9  999.9   20.7   16.8   12.2    7.3    5.3     3.2    11.5    20.8    12.1   11.90
2001    3.4    4.8    9.0    8.5   16.3   17.2   20.1   20.4   13.1   14.1    4.3    1.6     4.5    11.3    19.2    10.5   11.38
2002    1.4    6.3    7.8   10.5   13.4   20.5   19.9   18.6   15.1   11.6    7.8    5.6     3.1    10.6    19.7    11.5   11.21
2003    1.6    0.4    8.2   10.9   15.9   24.1   22.5   24.0   15.9    8.8    6.0    3.0     2.5    11.7    23.5    10.2   11.99
2004    2.7    3.4    5.5   10.6   13.8   18.8   20.0   20.1   16.8   13.6    5.9    2.9     3.0    10.0    19.6    12.1   11.18
2005    1.3    0.6    6.8   10.5   15.3   20.5   20.9   18.6   16.9   11.7    4.8    0.4     1.6    10.9    20.0    11.1   10.90
2006    0.3    1.4    5.1   10.2   14.5   19.5   23.7   16.8   18.0   13.6    7.7    3.4     0.7     9.9    20.0    13.1   10.93
2007    4.3    5.6    6.7   14.3   15.3   18.6   18.9   18.7   14.7   10.8    4.2    2.3     4.4    12.1    18.7     9.9   11.29
2008    3.8    3.9    6.0    9.2   15.8   18.5   20.0   19.3   14.1   11.2    6.3    1.6     3.3    10.3    19.3    10.5   10.87
2009   -0.2    1.8    6.3   12.4   17.0   18.3   20.5   21.2   16.6   10.6    7.8    2.3     1.1    11.9    20.0    11.7   11.16
2010    0.4    2.0    5.6   11.0   13.0   17.6   22.1   18.7   14.4   10.1    6.3    0.3     1.6     9.9    19.5    10.3   10.29
2011    2.5    3.1    7.2   13.2   16.3   17.8   17.8   20.2   17.2   11.0  999.9  999.9     2.0    12.2    18.6    11.6   11.11
